City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,San Policarpo,PH,12.1791,125.5072,79.81,84,100,6.15,moderate rain
79,Hobart,AU,-42.8794,147.3294,53.46,65,40,9.22,scattered clouds
80,Torbay,CA,47.6666,-52.7314,53.58,74,27,7.0,scattered clouds
81,Busselton,AU,-33.65,115.3333,51.24,85,86,5.26,overcast clouds
82,Augusto Correa,BR,-1.0217,-46.635,76.51,84,96,3.71,overcast clouds
83,Kunya,NG,12.2233,8.5325,76.86,73,51,3.42,light rain
84,Georgetown,MY,5.4112,100.3354,78.89,89,20,0.0,few clouds
85,Manga,BF,11.6636,-1.0731,72.41,89,100,9.13,light rain
86,Arlit,NE,18.7369,7.3853,94.86,26,89,7.85,overcast clouds
87,Takoradi,GH,4.8845,-1.7554,74.75,91,32,8.14,scattered clouds
88,Nantai,CN,40.9241,122.8044,50.05,69,0,7.94,clear sky
89,Mangrol,IN,21.1167,70.1167,80.46,74,2,7.94,clear sky
90,Butaritari,KI,3.0707,172.7902,80.96,79,7,15.3,light rain
91,Sarahan,IN,31.5167,77.8,58.21,76,0,3.2,clear sky
92,Vostok,RU,46.4856,135.8833,49.37,87,26,9.6,scattered clouds
93,Nizwa,OM,22.9333,57.5333,81.21,51,0,1.92,clear sky
94,Saskylakh,RU,71.9167,114.0833,30.38,95,99,6.49,overcast clouds
95,The Valley,AI,18.217,-63.0578,83.1,81,100,17.78,overcast clouds
96,Brae,GB,60.3964,-1.353,47.28,70,71,10.71,broken clouds
97,Yellowknife,CA,62.456,-114.3525,52.32,76,75,8.01,broken clouds
98,Phulpur,IN,25.55,82.1,78.75,83,51,2.86,broken clouds
99,Boguchany,RU,58.3814,97.4531,46.87,86,100,1.61,overcast clouds
100,Westport,US,41.1415,-73.3579,79.75,69,0,14.97,clear sky
101,Beringovskiy,RU,63.05,179.3167,40.19,77,99,11.65,overcast clouds
102,Sungaipenuh,ID,-2.0833,101.3833,64.71,92,100,1.54,overcast clouds
103,Chateauroux,FR,46.8167,1.7,48.2,87,0,8.05,clear sky
104,Knysna,ZA,-34.0363,23.0471,52.45,88,99,4.97,light rain
105,Port Said,EG,31.2565,32.2841,78.33,69,0,7.87,clear sky
106,Cape Town,ZA,-33.9258,18.4232,56.08,74,11,10.0,light rain
107,Goderich,CA,43.7501,-81.7165,76.91,72,60,8.88,broken clouds
