City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atbasar,KZ,2022-09-15 04:53:32,51.8,68.3333,56.01,34,50,10.49
68,Komsomolskiy,UZ,2022-09-15 04:47:43,40.4272,71.7189,77.72,31,0,2.3
69,Flinders,AU,2022-09-15 04:45:04,-34.5833,150.8552,63.05,73,100,7.09
70,Kapaa,US,2022-09-15 04:48:52,22.0752,-159.319,80.92,77,0,9.22
71,Marsh Harbour,BS,2022-09-15 04:53:33,26.5412,-77.0636,84.16,72,100,11.03
72,Broome,US,2022-09-15 04:53:33,42.2506,-75.833,60.17,89,0,1.99
73,Paso De Carrasco,UY,2022-09-15 04:53:33,-34.8603,-56.0522,52.95,100,75,4.61
74,Pittsburg,US,2022-09-15 04:53:34,38.028,-121.8847,65.28,79,76,4.0
75,Esperance,AU,2022-09-15 04:51:18,-33.8667,121.9,58.84,79,55,26.33
76,Chuy,UY,2022-09-15 04:51:28,-33.6971,-53.4616,50.13,96,0,5.73
77,Surman,LY,2022-09-15 04:53:35,32.7567,12.5716,77.77,45,0,7.61
78,Zavodskoy,RU,2022-09-15 04:53:35,43.4597,132.2922,63.99,82,100,4.47
79,Upata,VE,2022-09-15 04:48:52,8.0086,-62.3989,76.19,97,56,3.02
80,Lianran,CN,2022-09-15 04:53:36,24.9227,102.485,66.74,64,100,6.15
81,Hilo,US,2022-09-15 04:44:55,19.7297,-155.09,80.28,94,100,5.75
82,Touros,BR,2022-09-15 04:53:14,-5.1989,-35.4608,76.28,77,12,14.9
83,Punta Arenas,CL,2022-09-15 04:45:05,-53.15,-70.9167,39.31,70,0,16.11
84,Mehamn,NO,2022-09-15 04:53:37,71.0357,27.8492,44.55,70,75,11.5
85,Polunochnoye,RU,2022-09-15 04:53:37,60.8697,60.4153,48.76,67,99,6.67
86,Angouleme,FR,2022-09-15 04:53:37,45.65,0.15,64.04,91,0,4.61
87,Airai,TL,2022-09-15 04:53:38,-8.9266,125.4092,79.38,36,25,5.12
88,Ilo,PE,2022-09-15 04:53:38,-17.6394,-71.3375,58.1,82,22,3.62
89,Mukhen,RU,2022-09-15 04:53:39,48.1,136.1,68.16,60,100,4.72
90,Bluff,NZ,2022-09-15 04:47:30,-46.6,168.3333,46.8,73,87,29.84
91,Brae,GB,2022-09-15 04:54:39,60.3964,-1.353,50.63,69,36,19.28
92,Saint George,US,2022-09-15 04:44:17,37.1041,-113.5841,74.62,62,40,13.8
93,Teahupoo,PF,2022-09-15 04:54:40,-17.8333,-149.2667,73.36,77,63,24.99
94,Bengkulu,ID,2022-09-15 04:49:20,-3.8004,102.2655,83.61,66,54,7.11
95,Saint-Philippe,RE,2022-09-15 04:46:22,-21.3585,55.7679,74.79,65,35,11.05
96,Ouallam,NE,2022-09-15 04:54:40,14.3188,2.0866,83.97,67,10,12.73
97,Kruisfontein,ZA,2022-09-15 04:50:13,-34.0033,24.7314,58.5,51,56,7.34
98,Semporna,MY,2022-09-15 04:54:41,4.4818,118.6112,86.38,65,95,8.59
99,Capitao Poco,BR,2022-09-15 04:54:41,-1.7464,-47.0594,70.84,98,13,4.41
100,Coihaique,CL,2022-09-15 04:46:15,-45.5752,-72.0662,39.81,93,100,9.22
101,Souillac,MU,2022-09-15 04:54:42,-20.5167,57.5167,73.78,64,20,12.66
102,Acarau,BR,2022-09-15 04:54:42,-2.8856,-40.12,77.47,85,21,16.51
103,Montrose,US,2022-09-15 04:54:43,38.4166,-108.2673,48.72,80,75,8.03
104,San Patricio,US,2022-09-15 04:47:40,28.017,-97.5169,81.86,75,0,5.99
105,Tiksi,RU,2022-09-15 04:47:32,71.6872,128.8694,37.45,67,100,14.99
106,Longyearbyen,SJ,2022-09-15 04:50:06,78.2186,15.6401,28.72,82,95,2.91
107,Iqaluit,CA,2022-09-15 04:51:24,63.7506,-68.5145,40.73,80,100,4.61
108,Hanna,CA,2022-09-15 04:54:44,51.6334,-111.9018,54.86,67,1,6.93
109,Acapulco,MX,2022-09-15 04:54:44,16.8634,-99.8901,77.74,86,100,2.64
110,Camacha,PT,2022-09-15 04:54:45,33.0833,-16.3333,69.22,78,20,10.36
111,Cabo Rojo,PR,2022-09-15 04:54:45,18.0866,-67.1457,80.98,92,73,6.46
112,Kodiak,US,2022-09-15 04:44:56,57.79,-152.4072,51.31,82,75,5.75
113,Baiersbronn,DE,2022-09-15 04:54:46,48.5,8.3833,59.9,92,78,6.11
114,Port Lincoln,AU,2022-09-15 04:54:46,-34.7333,135.8667,57.79,65,96,25.37
115,Baykit,RU,2022-09-15 04:54:46,61.67,96.37,47.39,77,99,4.76
116,Carnarvon,AU,2022-09-15 04:46:14,-24.8667,113.6333,67.96,46,100,20.8
117,Kahului,US,2022-09-15 04:45:48,20.8947,-156.47,84.22,67,40,14.97
118,Toora-Khem,RU,2022-09-15 04:54:47,52.4675,96.11,46.11,74,100,4.23
